,Unnamed: 0,word,word_occurrences,freqs
132,132,umami,9529,9.091726139744618e-06
133,133,wared,3285,3.1342554695205237e-06
134,134,sharp,14296221,0.01364018534633917
135,135,pewed,1927,1.8385723865345662e-06
136,136,tuktu,1972,1.881507392966354e-06
137,137,knowd,6889,6.572872429079723e-06
138,138,dawds,197,1.8795991704582746e-07
139,139,flurr,0,0.0
140,140,inert,1325435,0.0012646124499981538
141,141,taxus,55006,5.248184363970957e-05
142,142,ruana,3728,3.5569267550601257e-06
143,143,sulci,102689,9.797673056608617e-05
144,144,jaded,264801,0.0002526496141809754
145,145,othyl,0,0.0
146,146,redig,3941,3.760152452170589e-06
147,147,manky,1942,1.852884055345162e-06
148,148,ovism,825,7.8714178458278e-07
149,149,matlo,0,0.0
150,150,cease,5138721,0.004902911537470312
151,151,perae,174,1.660153582029136e-07
152,152,sixes,123498,0.00011783083165139898
153,153,pubco,732,6.984094379570847e-07
154,154,yappy,5089,4.855472171808203e-06
155,155,famed,1002951,0.0009569268363504045
156,156,hexed,11264,1.0747109165503555e-05
157,157,bawrs,0,0.0
158,158,decry,142596,0.0001360524483810498
159,159,iddah,1954,1.8643333903936387e-06
160,160,dixit,184794,0.00017631403507901847
161,161,cased,162381,0.00015492953954222594
162,162,rupia,8928,8.518305276066738e-06
163,163,toidy,929,8.863693550029122e-07
164,164,hodad,261,2.490230373043704e-07
165,165,yukes,0,0.0
166,166,gaffe,40938,3.9059406517878604e-05
167,167,annoy,518517,0.0004947229051109204
168,168,leugh,1964,1.8738745029340362e-06
169,169,howay,5295,5.052019090140388e-06
170,170,pixel,894577,0.0008535259833051024
171,171,linga,40223,3.837721697124019e-05
172,172,bayou,498970,0.00047607289242820573
173,173,lurgy,1080,1.030440154362912e-06
174,174,lears,35342,3.3720199940272254e-05
175,175,scrat,2481,2.3671500212725784e-06
176,176,prize,6183649,0.005899889101931542
177,177,homes,11412890,0.010889166790117531
178,178,scroo,0,0.0
179,179,egest,788,7.518396681833098e-07
180,180,mopus,1720,1.6410713569483412e-06
181,181,verbs,3382161,0.0032269578730742786
182,182,maple,2092912,0.0019968708929148063
183,183,barfs,1632,1.5571095665928448e-06
184,184,judge,25642928,0.02446620619133059
185,185,salle,791258,0.0007549481626489713
186,186,shine,2937215,0.0028024298870343153
187,187,zineb,12571,1.1994132574533487e-05
188,188,flexo,5376,5.129302101717606e-06
189,189,gismo,3082,2.940570884950458e-06
190,190,rears,186157,0.00017761448871827463
191,191,khads,101,9.636523665801306e-08
192,192,begum,67005,6.393022457693233e-05
193,193,glade,373643,0.0003564969912931681
194,194,imams,92347,8.810931197680726e-05
195,195,strad,18317,1.7476455840245796e-05
196,196,venae,54881,5.2362579732954606e-05
197,197,skene,117777,0.00011237236116703767
198,198,moten,29783,2.8416295479065376e-05
199,199,rugby,379746,0.00036231993227657256
